RESUMO DAS TABELAS
====================

tbl_AccountsPayable: 25 colunas
tbl_AccountsPayablePayment: 10 colunas
tbl_AccountsReceivable: 26 colunas
tbl_AccountsReceivableDocumentType: 9 colunas
tbl_AccountsReceivablePayment: 10 colunas
tbl_Allocations: 10 colunas
tbl_AllocationsReceivable: 10 colunas
tbl_ArquivoPDF: 18 colunas
tbl_ArquivoPDF_Signatarios: 10 colunas
tbl_ArquivoPDFTipo: 5 colunas
tbl_AuditorLogin: 7 colunas
tbl_Bairros: 11 colunas
tbl_Banco: 3 colunas
tbl_Boleto: 68 colunas
tbl_BoletoAlteracao: 9 colunas
tbl_Categorias: 16 colunas
tbl_CentersManager: 8 colunas
tbl_Cep: 7 colunas
tbl_ChartOfAccounts: 11 colunas
tbl_Checklist: 9 colunas
tbl_Checklist_Header: 9 colunas
tbl_Checklist_Item: 7 colunas
tbl_Checklist_Item_Grupo: 2 colunas
tbl_Checklist_Registro: 8 colunas
tbl_Checklist_Registro_Arquivos: 5 colunas
tbl_Checklist_Tipo: 6 colunas
tbl_Cidade: 10 colunas
tbl_Clientes: 55 colunas
tbl_ClientesContas: 9 colunas
tbl_ClientesContatos: 17 colunas
tbl_ClientesContatosObras: 4 colunas
tbl_ClientesEmpresas: 8 colunas
tbl_ClienteSituacaoCadastralTipos: 12 colunas
tbl_ClientesOcorrencias: 9 colunas
tbl_Comissao: 22 colunas
tbl_ComissaoMeta: 8 colunas
tbl_ComissaoMetaVendedor: 9 colunas
tbl_ComissaoPagamento: 7 colunas
tbl_ComissaoParametros: 11 colunas
tbl_ComissaoParametrosTipo: 7 colunas
tbl_ComissaoPercentual: 7 colunas
tbl_ComissaoPercentualFaturas: 12 colunas
tbl_ComissaoResumo: 14 colunas
tbl_CommissionInvoices: 11 colunas
tbl_CommissionPaymentType: 9 colunas
tbl_CommissionPaymentVendor: 11 colunas
tbl_CommissionPaymentVendorDetails: 17 colunas
tbl_CommissionSummary: 11 colunas
tbl_CommissionSummaryDetails: 16 colunas
tbl_CommissionTarget: 7 colunas
tbl_CommissionTransactionType: 13 colunas
tbl_CommissionTransactionTypeHist: 11 colunas
tbl_CommissionType: 8 colunas
tbl_CompanyRepresentatives: 12 colunas
tbl_Conferencia: 17 colunas
tbl_Configuracao: 8 colunas
tbl_ConsolidadoInadimplencia: 12 colunas
tbl_Conta: 22 colunas
tbl_Contrato: 7 colunas
tbl_ContratoLocacao: 5 colunas
tbl_Contratos: 3 colunas
tbl_ContratoValoresIndenizacao: 4 colunas
tbl_CostCenters: 12 colunas
tbl_EmailCopia: 5 colunas
tbl_EmailsEnviados: 15 colunas
tbl_EmailsTipoReferencia: 4 colunas
tbl_EmailsTipos: 6 colunas
tbl_Embarque: 17 colunas
tbl_EmbarqueItem: 14 colunas
tbl_EmbarqueItemEntregue: 7 colunas
tbl_Empresa: 28 colunas
tbl_EmpresaTipoLocacao: 3 colunas
tbl_Entrada: 14 colunas
tbl_EntradaItens: 12 colunas
tbl_Estado: 8 colunas
tbl_Estoque: 6 colunas
tbl_EstoqueLocalizacao: 6 colunas
tbl_EstoqueSerial: 8 colunas
tbl_FinancialResults: 13 colunas
